stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4833,0167,ЛОРТА (167),"вул. Ряшівська, 7",49.824294,23.956085
4834,0166,Ряшівська (166),"вул. Ряшівська, 1",49.826720,23.954948
4835,0115,Каховська (115),"вул. Городоцька, 236",49.826792,23.946478
4836,0102,Станційна (102),"вул. Городоцька, 282",49.823482,23.928912
4841,0116,Каховська (116),"вул. Городоцька, 319а",49.827055,23.948951
4842,0169,Ряшівська (169),"вул. Ряшівська (Городоцька, 309)",49.826844,23.954540
4843,0168,ЛОРТА (168),"вул. Ряшівська (вул. Є. Патона, 6)",49.824002,23.955729
4844,0121,Патона (121),"вул. Є. Патона, 31",49.823007,23.961446
4845,0120,Залізнична РА (120),"вул. Є. Патона, 7",49.822632,23.965602
4846,0444,Чукаріна (444),"вул. Хуторівка (вул. В. Чукаріна, 28)",49.800478,24.040704
4847,0424,Центр Довженка (424),вул. Сихівська 13,49.794023,24.061708
4848,0111,Приміський вокзал (111),вул. Городоцька (навпроти № 169),49.835740,23.995594
4849,0042,пл. Митна (42),вул. Личаківська 7,49.839833,24.038005
4850,0046,Кропивницького (46),"пл. М. Кропивницького,3",49.837303,24.005352
4851,0557,Бандери (557),вул. С. Бандери 73,49.834858,24.006897
4852,0556,Карпінського (556),вул. С. Бандери 53,49.834696,24.010022
4853,0065,Львівська політехніка (65),вул. С. Бандери 15,49.834613,24.016140
4855,0217,Ш. Руставелі (217),"вул. Зелена, 12",49.833893,24.036680
4856,0219,Львівводоканал (219),"вул. Зелена, 54",49.830685,24.043327
4857,0024,Водогінна (24),"вул. Зелена, 118",49.826280,24.043509
4858,0025,Керченська (25),вул. Зелена (навпроти № 109),49.823470,24.052248
4859,0369,Липова Алея (369),"вул. Зелена, 130",49.820659,24.055879
4860,0372,Дністерська (372),вул. Зелена 150,49.817745,24.059388
4861,0365,Вашингтона (365),"вул. Дж. Вашингтона (вул. Зелена, 147)",49.815921,24.063009
4862,0363,Перинатальний центр (363),"вул. Дж. Вашингтона, 6",49.815714,24.070434
4863,0282,Лисинецька (282),"вул. Пасічна, 85",49.817039,24.077262
4864,0284,Ярошинської (284),"вул. Пасічна (вул. Є. Ярошинської, 2)",49.822568,24.075173
4865,0280,пл. І. Франка (311),"вул. І. Франка, 77",49.829702,24.031574
4866,0268,Каштанова (268),вул. Медової Печери 30,49.824522,24.079285
4867,0270,Медової Печери (270),вул. Медової Печери 67,49.823044,24.083960
4868,0269,Каштанова (269),вул. Медової Печери 45,49.824678,24.079086
4869,0267,Майорівка (267),вул. Медової Печери 1,49.826636,24.072810
4870,0278,Таджицька (278),"вул. Пасічна, 39",49.830834,24.068363
4872,,Котика (252),"вул. Личаківська, 149",49.837263,24.060879
4874,0245,Медичний університет (245),"вул. Личаківська, 67",49.840041,24.049249
4875,0242,Військовий госпіталь (242),вул. Личаківська 35,49.840259,24.043150
4876,0057,Підвальна (57),вул. Підвальна 2,49.842525,24.035160
4877,0040,Театральна (40),"пл. Ярослава Осмомисла, (Добробут)",49.844819,24.027706
4878,0013,Магнус (13),вул. Городоцька 8,49.843935,24.024104
4880,0156,Будинок меблів (156),"вул. Любінська (вул. Зоряна, 4)",49.824968,23.979067
4881,0536,Окружна (536),"вул. Любінська, 60",49.827376,23.983150
4882,0147,Будинок меблів (147),"вул. Любінська, 96",49.823965,23.976738
4883,0149,Караджича (149),вул. Любінська 102,49.822054,23.972538
4884,0680,Церква Анни (680),вул. Т. Шевченка 24,49.843151,24.015008
4885,0681,Я.Мудрого (681),вул. Т. Шевченка 52,49.844389,24.011373
4886,0682,Турянського (682),вул. Т. Шевченка 94,49.847219,24.002804
4887,0683,Єрошенка (683),вул. Т. Шевченка 114,49.848150,23.999972
4888,0163,Левандівське озеро (163),вул. Повітряна 2Б,49.846344,23.985198
4889,0157,Олесницького (157),вул. Повітряна 20,49.845355,23.978294
4890,0160,Пілотів (160),вул. Повітряна 66,49.844509,23.971905
4891,0159,Пілотів (159),вул. Повітряна 65,49.844388,23.971694
4892,0158,Олесницького (158),вул. Повітряна 31,49.845247,23.978187
4893,0162,Левандівське озеро (162),вул. Повітряна 1А,49.846248,23.985380
4894,0141,Естонська (141),вул. Левандівська (навпроти №3),49.846974,23.990579
4895,0183,Єрошенка (183),вул. Т. Шевченка 77,49.848018,24.000176
4896,0182,Турянського (182),вул. Т. Шевченка 53,49.847057,24.003062
4897,0077,Я.Мудрого (77),"вул. Т. Шевченка, 3А",49.844303,24.011253
4898,0253,АС6 (253),"вул. Личаківська, 152",49.835872,24.070913
4899,0030,Шухевича (30),"вул. І. Франка, 8",49.836654,24.034894
4900,,Пирогівка (333),"вул. Пирогівка, 4",49.807361,24.076495
4901,0080,Стрийський ринок (80),"вул. Ш. Руставелі, 42",49.829668,24.032244
4902,0076,Академія сухопутних військ (76),вул. Стрийська (монумент слави),49.825141,24.022969
4903,0558,Дитяча залізниця (558),"вул. Стрийська, 72",49.820528,24.020228
4904,0566,Податкова (566),"вул. Стрийська (вул. Академіка Лазаренка, 2)",49.814975,24.019753
4905,0428,Податкова (428),"вул. Стрийська, 35",49.815149,24.019922
4906,0075,Дитяча залізниця (75),вул. Стрийська (вхід в парк),49.820428,24.020410
4907,0567,Академія сухопутних військ (567),"вул. Стрийська (вул. Героїв Майдану, 32)",49.824120,24.020624
4909,0292,Ш. Руставелі (292),вул. Ш/ Руставелі (навпроти № 4),49.833934,24.035425
4910,0240,пл. Митна (240),вул. Личаківська 2,49.839747,24.037212
4911,0241,Військовий госпіталь (241),"вул. Личаківська, 28",49.840221,24.043327
4912,0243,Медичний університет (243),вул. Личаківська 52,49.839806,24.049845
4914,,Котика (249),"вул. Личаківська, 112",49.837439,24.059711
4915,0272,Фабрика повидла (272),"вул. Механічна (вул. Б.Хмельницького, 122)",49.855266,24.045390
4916,0273,Корейська (273),вул. Новознесенська 34,49.855469,24.053847
4917,0229,Милятинська (229),"вул. Ковельська, 50",49.857506,24.057382
4918,0288,Ковельська (288),"вул. Пластова, 4",49.859377,24.060670
4919,0199,Авторинок (199),"вул. Богданівська, 11",49.854583,24.076232
4920,0203,Гайдучка (203),вул. Богданівська (навпроти № 100),49.852854,24.077547
4921,0201,Старознесенська (201),"вул. Богданівська (вул. Старознесенська, 161)",49.849194,24.083147
4922,0213,Богданівська (213),вул. Глинянський Тракт (навпроти № 70),49.840172,24.084671
4923,0377,ДБК (377),"вул. Зелена, 251",49.805938,24.062306
